"Name","ICAO","Location"
"Stillberghof",,"48° 43′ 54″ N, 10° 50′ 5″ O"
"Stolberg-Diepenlinchen",,"50° 46′ 9″ N, 6° 16′ 49″ O"
"Stüde",,"52° 33′ 54″ N, 10° 41′ 6″ O"
"Sultmer Berg",,"51° 43′ 49″ N, 9° 59′ 33″ O"
"Sundern-Seidfeld",,"51° 18′ 26″ N, 7° 58′ 53″ O"
"Tarmstedt",,"53° 15′ 11″ N, 9° 6′ 38″ O"
"Tauberbischofsheim",,"49° 38′ 57″ N, 9° 38′ 0″ O"
"Teck",,"48° 36′ 35″ N, 9° 28′ 23″ O"
"Tirschenreuth",,"49° 52′ 29″ N, 12° 19′ 34″ O"
"Titschendorf",,"50° 23′ 53″ N, 11° 31′ 32″ O"
"Tröstau",,"50° 1′ 14″ N, 11° 55′ 57″ O"
"Übersberg",,"48° 27′ 30″ N, 9° 18′ 20″ O"
"Ummern",,"52° 37′ 17″ N, 10° 24′ 43″ O"
"Unterwössen",,"47° 43′ 45″ N, 12° 26′ 17″ O"
"Urspring",,"48° 33′ 12″ N, 9° 54′ 12″ O"
"Uslar",,"51° 39′ 49″ N, 9° 36′ 37″ O"
"Utscheid",,"49° 59′ 55″ N, 6° 20′ 36″ O"
"Vaihingen an der Enz",,"48° 56′ 14″ N, 8° 58′ 47″ O"
"Vielbrunn",,"49° 43′ 14″ N, 9° 4′ 40″ O"
"Vinsebeck",,"51° 50′ 35″ N, 9° 0′ 59″ O"
"Völkleshofen",,"49° 0′ 37″ N, 9° 21′ 26″ O"
"Wächtersberg-Hub",,"48° 36′ 56″ N, 8° 45′ 23″ O"
"Waldeck",,"51° 13′ 29″ N, 9° 3′ 30″ O"
"Walsrode",,"52° 53′ 22″ N, 9° 36′ 4″ O"
"Wanlo",,"51° 52′ 3″ N, 6° 23′ 36″ O"
"Warburg",,"51° 29′ 50″ N, 9° 5′ 26″ O"
"Weipertshofen",,"49° 5′ 14″ N, 10° 7′ 43″ O"
"Welzheim",,"48° 52′ 41″ N, 9° 39′ 30″ O"
"Wenzendorf",,"53° 20′ 19″ N, 9° 46′ 50″ O"
"Weper",,"51° 42′ 44″ N, 9° 48′ 8″ O"
"Wildberg",,"48° 38′ 13″ N, 8° 43′ 58″ O"
"Wilsche",,"52° 31′ 33″ N, 10° 27′ 55″ O"
"Wissler Dünen",,"51° 45′ 59″ N, 6° 17′ 56″ O"
"Wittstock",,"53° 13′ 25″ N, 12° 33′ 49″ O"
"Witzenhausen-Burgberg",,"51° 21′ 6″ N, 9° 49′ 36″ O"
"Wülzburg",,"49° 1′ 32″ N, 11° 1′ 7″ O"
"Wustweiler",,"49° 23′ 44″ N, 7° 1′ 6″ O"
"Zelhausen",,"50° 1′ 11″ N, 8° 59′ 0″ O"
"Zierenberg",,"51° 22′ 10″ N, 9° 20′ 6″ O"
