"Name","ICAO","Location"
"JadeWeserAirport","EDWI","53° 30′ N, 8° 3′ O"
"Jena-Schöngleina","EDBJ","50° 55′ N, 11° 43′ O"
"Jesenwang","EDMJ","48° 10′ N, 11° 8′ O"
"Juist","EDWJ","53° 41′ N, 7° 3′ O"
"Kamenz","EDCM","51° 18′ N, 14° 8′ O"
"Kamp-Lintfort","EDLC","51° 32′ N, 6° 32′ O"
"Karlshöfen","EDWK","53° 20′ N, 9° 2′ O"
"Kassel-Calden","EDVK","51° 24′ N, 9° 23′ O"
"Kehl-Sundheim","EDSK","48° 34′ N, 7° 51′ O"
"Kempten-Durach","EDMK","47° 42′ N, 10° 20′ O"
"Kiel-Holtenau","EDHK","54° 23′ N, 10° 9′ O"
"Kirchdorf/Inn","EDNK","48° 14′ N, 12° 59′ O"
"Klein Mühlingen","EDOM","51° 57′ N, 11° 46′ O"
"Klietz/Scharlibbe","EDCL","52° 43′ N, 12° 4′ O"
"Klix","EDCI","51° 16′ N, 14° 30′ O"
"Koblenz-Winningen","EDRK","50° 20′ N, 7° 32′ O"
"Konstanz","EDTZ","47° 41′ N, 9° 8′ O"
"Korbach","EDGK","51° 15′ N, 8° 52′ O"
"Köthen","EDCK","51° 43′ N, 11° 57′ O"
"Krefeld-Egelsberg","EDLK","51° 23′ N, 6° 35′ O"
"Kührstedt-Bederkesa","EDXZ","53° 34′ N, 8° 47′ O"
"Kulmbach","EDQK","50° 8′ N, 11° 28′ O"
"Kyritz","EDBK","52° 55′ N, 12° 26′ O"
"Lachen-Speyerdorf","EDRL","49° 20′ N, 8° 13′ O"
"Lager Hammelburg","EDFJ","50° 6′ N, 9° 53′ O"
"Laichingen","EDPJ","48° 30′ N, 9° 38′ O"
"Landshut","EDML","48° 31′ N, 12° 2′ O"
"Langenlonsheim","EDEL","49° 54′ N, 7° 54′ O"
"Langeoog","EDWL","53° 45′ N, 7° 30′ O"
"Langhennersdorf","EDOH","50° 57′ N, 13° 16′ O"
"Laucha","EDBL","51° 15′ N, 11° 42′ O"
"Lauenbrück","EDHU","53° 12′ N, 9° 34′ O"
"Lauf-Lillinghof","EDQI","49° 36′ N, 11° 17′ O"
"Lauterbach","EDFT","50° 41′ N, 9° 25′ O"
"Leck","EDXK","54° 47′ N, 8° 58′ O"
"Leer-Papenburg","EDWF","53° 16′ N, 7° 27′ O"
"Leutkirch-Unterzeil","EDNL","47° 52′ N, 10° 1′ O"
"Leverkusen","EDKL","51° 1′ N, 7° 0′ O"
"Lichtenfels","EDQL","50° 9′ N, 11° 3′ O"
"Linkenheim","EDRI","49° 9′ N, 8° 24′ O"
"Locktow","–","52° 7′ N, 12° 43′ O"
"Lüchow-Rehbeck","EDHC","53° 1′ N, 11° 9′ O"
"Lüneburg","EDHG","53° 15′ N, 10° 28′ O"
"Lüsse","EDOJ","52° 8′ N, 12° 40′ O"
"Magdeburg","EDBM","52° 4′ N, 11° 38′ O"
"Mainbullau","EDFU","49° 42′ N, 9° 11′ O"
"Mainz-Finthen","EDFZ","49° 58′ N, 8° 9′ O"
"Mannheim-City","EDFM","49° 28′ N, 8° 31′ O"
"Marburg-Schönstadt","EDFN","50° 52′ N, 8° 49′ O"
"Marl-Loemühle","EDLM","51° 39′ N, 7° 10′ O"
"Meinerzhagen","EDKZ","51° 6′ N, 7° 36′ O"
"Melle-Grönegau","EDXG","52° 12′ N, 8° 23′ O"
"Mengen-Hohentengen","EDTM","48° 3′ N, 9° 22′ O"
"Mengeringhausen","EDVG","51° 23′ N, 8° 59′ O"
"Merseburg","EDAM","51° 22′ N, 11° 57′ O"
"Meschede-Schüren","EDKM","51° 18′ N, 8° 14′ O"
"Michelstadt/Odw.","EDFO","49° 41′ N, 8° 58′ O"
"Mindelheim-Mattsies","EDMN","48° 6′ N, 10° 32′ O"
"Mönchengladbach","EDLN","51° 14′ N, 6° 30′ O"
"Mosbach-Lohrbach","EDGM","49° 24′ N, 9° 7′ O"
"Mosenberg","EDEM","51° 4′ N, 9° 25′ O"
"Mühldorf","EDMY","48° 17′ N, 12° 30′ O"
"Mühlhausen","EDEQ","51° 13′ N, 10° 33′ O"
"Münster-Telgte","EDLT","51° 57′ N, 7° 46′ O"
"Nabern/Teck","EDTN","48° 37′ N, 9° 29′ O"
"Nannhausen","EDRN","49° 58′ N, 7° 29′ O"
"Nardt","EDAT","51° 27′ N, 14° 12′ O"
"Neuburg-Egweil","EDNJ","48° 47′ N, 11° 13′ O"
"Neuhardenberg","EDON","52° 37′ N, 14° 15′ O"
"Neuhausen","EDAP","51° 41′ N, 14° 25′ O"
"Neuhausen ob Eck","EDSN","47° 59′ N, 8° 54′ O"
"Neumagen-Dhron","EDRD","49° 51′ N, 6° 55′ O"
"Neumarkt/Obf.","EDPO","49° 17′ N, 11° 27′ O"
"Neumünster","EDHN","54° 5′ N, 9° 56′ O"
"Neustadt/Aisch","EDQN","49° 35′ N, 10° 35′ O"
